ERR1110319_Contig_86348_23.428:1.1048	NC_005261.3	37.500	72	45	0	1031	816	49519	49734	1.88e-05	41.4
ERR1110319_Contig_86348_23.428:1.1048	NC_001847.1	36.111	72	46	0	1031	816	48264	48479	2.48e-04	37.7
ERR1110319_Contig_48795_30.9467:1.1277	NC_008265.1	49.412	85	43	0	996	742	37687	37433	9.43e-28	114
ERR1110319_Contig_48795_30.9467:1.1277	NC_025462.1	36.250	80	51	0	966	727	74968	75207	8.79e-10	66.1
ERR1110319_Contig_79925_54.7577:1.2067	NC_023007.1	39.474	38	23	0	1205	1318	139550	139437	1.03e-13	39.6
ERR1110319_Contig_79925_54.7577:1.2067	NC_023574.1	30.337	89	62	0	983	1249	119247	118981	6.67e-06	50.1
ERR1110319_Contig_79925_54.7577:1.2067	NC_027341.1	30.337	89	62	0	983	1249	120689	120423	5.10e-05	51.0
ERR1110319_Contig_79925_54.7577:1.2067	NC_015263.1	30.337	89	62	0	983	1249	105394	105128	9.62e-05	50.1
ERR1110319_Contig_7371_98.5881:1.1994	NC_016448.1	27.174	92	67	0	767	492	134564	134289	6.04e-04	47.4
ERR1110319_Contig_32894_50.7395:1.1467	NC_001664.4	18.750	112	91	0	282	617	131849	132184	9.08e-05	49.6
ERR1110319_Contig_32894_50.7395:1.1467	NC_008912.1	22.973	74	57	0	396	617	3011	2790	1.88e-05	39.6
ERR1110319_Contig_32894_50.7395:1.1467	NC_021901.1	27.586	58	42	0	294	467	133539	133712	9.80e-05	43.2
ERR1110319_Contig_32894_50.7395:1.1467	NC_020845.1	37.931	29	18	0	339	425	19915	20001	3.65e-04	40.0
ERR1110319_Contig_65756_54.7061:1.1085	NC_016072.1	26.562	64	47	0	480	289	628434	628625	8.19e-04	46.0
ERR1110319_Contig_48564_48.4229:1.3912	NC_028763.1	40.000	30	18	0	1124	1213	48856	48767	3.85e-04	34.5
ERR1110319_Contig_48564_48.4229:1.3912	NC_028924.1	40.000	30	18	0	1124	1213	47586	47497	3.86e-04	34.5
ERR1110319_Contig_83685_23.8636:1.1743	NC_018282.1	41.379	29	17	0	434	348	56384	56298	2.65e-04	29.0
ERR1110319_Contig_83685_23.8636:1.1743	NC_010116.1	41.379	29	17	0	434	348	53880	53794	6.35e-04	29.9
ERR1110319_Contig_8018_31.3591:1.2022	NC_009015.1	46.250	80	43	0	474	713	8223	8462	3.35e-16	88.1
ERR1110319_Contig_8018_31.3591:1.2022	NC_027991.1	57.143	42	18	0	606	731	42754	42629	2.62e-12	65.2
