accession,qseqid,qlen,sacc,staxids,sscinames,slen,pident,evalue,bitscore,length
DRR053213,Contig_2503_11.0837:1.1311,1311,NC_031944,1815521,Synechococcus phage S-WAM1,185102,78.207,0.0,750,1216
DRR053213,Contig_3410_16.1664:1.1252,1252,NC_031944,1815521,Synechococcus phage S-WAM1,185102,79.087,0.0,800,1205
DRR053213,Contig_3630_13.5685:1.1466,1466,NC_031944,1815521,Synechococcus phage S-WAM1,185102,76.579,6.51e-153,544,1029
DRR053213,Contig_38_7.73468:1.1211,1211,NC_020875,536466,Synechococcus phage S-SSM4,182801,74.854,2.77e-76,289,684
DRR053213,Contig_518_10.243:1.1016,1016,NC_020875,536466,Synechococcus phage S-SSM4,182801,76.643,7.54e-146,520,989
DRR053213,NC_020859.1_107:1.1176,1176,NC_031903,1883365,Synechococcus phage S-CAM22,172345,84.680,0.0,944,953
DRR053213,NC_020859.1_112:1.1155,1155,NC_027130,1493508,Synechococcus phage ACG-2014b,172688,82.687,0.0,1020,1161
DRR053213,NC_020859.1_118:1.1583,1583,NC_031944,1815521,Synechococcus phage S-WAM1,185102,84.757,0.0,1511,1522
DRR053213,NC_020859.1_135:1.1343,1343,NC_031944,1815521,Synechococcus phage S-WAM1,185102,81.973,0.0,878,1054
DRR053213,NC_020859.1_150:1.1235,1235,NC_020851,754042,Synechococcus phage S-SKS1,208007,75.042,5.50e-148,527,1178
DRR053213,NC_020859.1_165:1.2102,2102,NC_023584,1340812,Synechococcus phage S-MbCM100,170438,81.272,0.0,1616,2013
DRR053213,NC_020859.1_173:1.1125,1125,NC_023584,1340812,Synechococcus phage S-MbCM100,170438,77.203,1.08e-144,516,908
DRR053213,NC_020859.1_17:1.2943,2943,NC_008296,382359,Synechococcus phage syn9,177300,84.574,0.0,2351,2405
DRR053213,NC_020859.1_191:1.1027,1027,NC_020859,869662,Synechococcus phage S-RIM2 R1_1999,175430,77.229,4.93e-93,344,628
DRR053213,NC_020859.1_192:1.1331,1331,NC_031935,1815522,Synechococcus phage S-WAM2,186386,80.964,1.23e-174,616,788
DRR053213,NC_020859.1_1:1.7310,7310,NC_020859,869662,Synechococcus phage S-RIM2 R1_1999,175430,84.611,0.0,7193,7356
DRR053213,NC_020859.1_202:1.1147,1147,NC_015282,444859,Synechococcus phage S-SM1,174079,76.465,1.78e-167,592,1143
DRR053213,NC_020859.1_213:1.3551,3551,NC_031944,1815521,Synechococcus phage S-WAM1,185102,83.861,0.0,3367,3569
DRR053213,NC_020859.1_22:1.2784,2784,NC_021536,754039,Synechococcus phage S-IOM18,171797,84.970,0.0,2019,2016
DRR053213,NC_020859.1_237:1.1108,1108,NC_031944,1815521,Synechococcus phage S-WAM1,185102,83.363,0.0,1022,1112
DRR053213,NC_020859.1_281:1.1165,1165,NC_031944,1815521,Synechococcus phage S-WAM1,185102,81.804,4.01e-149,531,643
DRR053213,NC_020859.1_28:1.1996,1996,NC_020859,869662,Synechococcus phage S-RIM2 R1_1999,175430,84.900,0.0,1829,1841
DRR053213,NC_020859.1_29:1.1910,1910,NC_021072,536474,Cyanophage Syn30,178807,84.262,0.0,1783,1849
DRR053213,NC_020859.1_344:1.1637,1637,NC_031944,1815521,Synechococcus phage S-WAM1,185102,82.403,0.0,811,949
DRR053213,NC_020859.1_355:1.1252,1252,NC_020875,536466,Synechococcus phage S-SSM4,182801,76.603,0.0,662,1248
DRR053213,NC_020859.1_42:1.2007,2007,NC_020859,869662,Synechococcus phage S-RIM2 R1_1999,175430,79.781,0.0,1223,1736
DRR053213,NC_020859.1_46:1.1614,1614,NC_020859,869662,Synechococcus phage S-RIM2 R1_1999,175430,84.610,0.0,1378,1410
DRR053213,NC_020859.1_496:1.2383,2383,NC_031944,1815521,Synechococcus phage S-WAM1,185102,84.434,0.0,2303,2377
DRR053213,NC_020859.1_523:1.1176,1176,NC_031944,1815521,Synechococcus phage S-WAM1,185102,78.614,0.0,767,1183
DRR053213,NC_020859.1_56:1.1902,1902,NC_015286,445684,Synechococcus phage Syn19,175230,79.085,0.0,1240,1836
DRR053213,NC_020859.1_588:1.1284,1284,NC_020875,536466,Synechococcus phage S-SSM4,182801,76.208,2.03e-157,558,1097
DRR053213,NC_020859.1_667:1.1090,1090,NC_031944,1815521,Synechococcus phage S-WAM1,185102,76.353,1.05e-144,516,998
DRR053213,NC_020859.1_69:1.1950,1950,NC_031903,1883365,Synechococcus phage S-CAM22,172345,73.909,0.0,730,1947
DRR053213,NC_021536.1_11:1.2046,2046,NC_031903,1883365,Synechococcus phage S-CAM22,172345,83.610,0.0,1903,2050
DRR053213,NC_021536.1_15:1.1883,1883,NC_031903,1883365,Synechococcus phage S-CAM22,172345,83.531,0.0,1687,1852
DRR053213,NC_021536.1_16:1.1963,1963,NC_015282,444859,Synechococcus phage S-SM1,174079,83.511,0.0,1825,1965
DRR053213,NC_021536.1_19:1.1998,1998,NC_015282,444859,Synechococcus phage S-SM1,174079,77.610,0.0,1127,1925
DRR053213,NC_021536.1_20:1.1744,1744,NC_015286,445684,Synechococcus phage Syn19,175230,82.649,0.0,1498,1729
DRR053213,NC_021536.1_21:1.1914,1914,NC_015290,445688,Prochlorococcus phage P-SSM7,182180,80.749,0.0,1472,1922
DRR053213,NC_021536.1_22:1.1866,1866,NC_021536,754039,Synechococcus phage S-IOM18,171797,84.220,0.0,1075,1147
DRR053213,NC_021536.1_237:1.1029,1029,NC_031906,1883366,Synechococcus phage S-CAM3,198190,82.333,9.96e-140,499,583
DRR053213,NC_021536.1_247:1.1584,1584,NC_031944,1815521,Synechococcus phage S-WAM1,185102,77.253,0.0,771,1376
DRR053213,NC_021536.1_254:1.1159,1159,NC_031903,1883365,Synechococcus phage S-CAM22,172345,75.110,8.69e-141,503,1141
DRR053213,NC_021536.1_25:1.1775,1775,NC_015282,444859,Synechococcus phage S-SM1,174079,79.445,0.0,1164,1693
DRR053213,NC_021536.1_27:1.1092,1092,NC_021536,754039,Synechococcus phage S-IOM18,171797,84.308,0.0,1048,1077
DRR053213,NC_021536.1_28:1.1239,1239,NC_021536,754039,Synechococcus phage S-IOM18,171797,81.526,0.0,1003,1245
DRR053213,NC_021536.1_294:1.1272,1272,NC_031944,1815521,Synechococcus phage S-WAM1,185102,82.984,0.0,1140,1287
DRR053213,NC_021536.1_33:1.1507,1507,NC_008296,382359,Synechococcus phage syn9,177300,84.889,0.0,1133,1125
DRR053213,NC_021536.1_34:1.2056,2056,NC_023584,1340812,Synechococcus phage S-MbCM100,170438,73.939,0.0,754,2003
DRR053213,NC_021536.1_36:1.1063,1063,NC_021536,754039,Synechococcus phage S-IOM18,171797,82.341,0.0,863,1025
DRR053213,NC_021536.1_39:1.1352,1352,NC_021536,754039,Synechococcus phage S-IOM18,171797,77.266,0.0,769,1368
DRR053213,NC_021536.1_43:1.1317,1317,NC_031903,1883365,Synechococcus phage S-CAM22,172345,84.474,0.0,743,760
DRR053213,NC_021536.1_45:1.1491,1491,NC_031944,1815521,Synechococcus phage S-WAM1,185102,84.733,0.0,1485,1500
DRR053213,NC_021536.1_47:1.1042,1042,NC_021536,754039,Synechococcus phage S-IOM18,171797,80.578,0.0,752,1004
DRR053213,NC_021536.1_55:1.1410,1410,NC_015290,445688,Prochlorococcus phage P-SSM7,182180,80.699,0.0,819,1088
DRR053213,NC_021536.1_57:1.1534,1534,NC_031903,1883365,Synechococcus phage S-CAM22,172345,81.635,0.0,1253,1541
DRR053213,NC_021536.1_614:1.1243,1243,NC_020484,1283076,Pelagibacter phage HTVC008M,147284,73.901,1.34e-64,250,705
DRR053213,NC_021536.1_61:1.1369,1369,NC_026923,1493509,Synechococcus phage ACG-2014d,179110,79.130,2.11e-177,625,920
DRR053213,NC_021536.1_63:1.1186,1186,NC_021536,754039,Synechococcus phage S-IOM18,171797,75.147,1.13e-149,532,1191
